"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.794238591,      -2.792484557,      -3.363629576,      -3.411381676,      -2.903313073,      -5.392032291
          0,           0,           1,      -2.815423194,      -2.814039519,      -3.385142875,      -3.433572127,      -2.926052222,      -5.505927405
          0,           0,           2,      -2.839992724,      -2.839080081,      -3.409828283,      -3.458722422,       -2.95208405,       -5.62742292
          0,           0,           3,       -2.86947785,       -2.86913286,       -3.43925741,      -3.487592623,      -2.982852553,      -5.755673094
          0,           0,           4,      -2.905314216,      -2.905577515,      -3.474878399,      -3.520882143,      -3.019640996,      -5.887898868
          0,           0,           5,      -2.948970703,      -2.949751563,      -3.518026419,      -3.559661831,      -3.063696914,       -6.02057904
          0,           0,           6,      -3.001520349,      -3.002469665,      -3.569338462,      -3.605324568,      -3.115790149,      -6.152094715
          0,           0,           7,      -3.063203756,      -3.063589383,      -3.628466582,      -3.659309743,      -3.175846988,      -6.284596695
          0,           0,           8,      -3.124527723,      -3.123275128,       -3.68533139,      -3.713777344,      -3.235243451,      -6.404090121
          0,           0,           9,      -3.184781199,      -3.181196158,      -3.739147145,      -3.767704683,      -3.293406592,      -6.515235557
          0,           0,          10,      -3.244176358,      -3.238037778,      -3.790762949,      -3.820471427,      -3.350715857,      -6.620466833
          0,           0,          11,      -3.302836701,      -3.294221515,       -3.84140104,      -3.872001212,      -3.407496547,      -6.720301993
          0,           0,          12,      -3.359853407,      -3.348956799,      -3.891825605,      -3.922717287,      -3.462997423,      -6.814511124
          0,           0,          13,      -3.413780467,      -3.400731277,      -3.942690865,      -3.973296452,      -3.515803955,      -6.902872403
          0,           0,          14,      -3.463355544,      -3.448202552,       -3.99428952,      -4.024356154,      -3.564505814,      -6.985441037
          0,           0,          15,      -3.508480672,      -3.491403489,      -4.046869328,      -4.076249128,       -3.60877745,       -7.06255574
          0,           0,          16,      -3.550334498,      -3.531755337,      -4.100551329,      -4.129046764,      -3.649651859,      -7.134771453
          0,           0,          17,      -3.590562948,      -3.571062344,      -4.155294225,      -4.182605502,       -3.68879023,      -7.202381374
          0,           0,          18,      -3.630688817,      -3.610869381,      -4.210808306,      -4.236635806,      -3.727846612,      -7.265228507
          0,           0,          19,      -3.671543315,      -3.651880369,      -4.266648067,      -4.290816832,      -3.767801466,      -7.322856429
          0,           0,          20,       -3.71327433,      -3.693991078,         -4.322355,      -4.344849849,      -3.808868641,      -7.374859645
          0,           0,          21,      -3.755804671,      -3.736871747,      -4.377663602,      -4.398475485,      -3.850921651,      -7.421165949
          0,           0,          22,      -3.798957844,      -3.780109407,      -4.432530337,      -4.451511843,      -3.893649081,       -7.46210625
