"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -5.399872943,      -5.474309319,      -6.469496594,      -6.469281739,      -5.635562904,      -13.12312356
          0,           0,           1,      -5.399753613,      -5.477290612,      -6.472935803,       -6.47272359,      -5.635338522,       -13.1293433
          0,           0,           2,      -5.399532516,      -5.482014471,      -6.478433483,      -6.478225751,      -5.634910616,      -13.13888091
          0,           0,           3,      -5.399247829,      -5.486972866,      -6.484132612,       -6.48392988,      -5.634375385,      -13.14880639
          0,           0,           4,      -5.398888147,      -5.492186919,      -6.489998938,      -6.489801773,      -5.633718116,      -13.15912161
          0,           0,           5,      -5.398440075,      -5.497679412,      -6.495984442,      -6.495793448,      -5.632921717,       -13.1698934
          0,           0,           6,      -5.397888224,      -5.503474935,      -6.502024697,      -6.501840498,      -5.631966493,      -13.18107388
          0,           0,           7,        -5.3972151,       -5.50959919,      -6.508035899,      -6.507859198,      -5.630829795,      -13.19276971
          0,           0,           8,      -5.396401266,      -5.516079822,      -6.513912641,      -6.513744177,      -5.629485839,      -13.20484169
          0,           0,           9,      -5.395422381,      -5.522930015,      -6.519537955,      -6.519378525,      -5.627902611,      -13.21753854
          0,           0,          10,      -5.394250561,      -5.530172823,      -6.524775804,      -6.524625954,      -5.626043608,      -13.23539309
          0,           0,          11,        -5.3928542,      -5.537883694,      -6.529421004,      -6.529281339,       -5.62386917,      -13.25082235
          0,           0,          12,      -5.391198869,      -5.546129321,      -6.533245553,      -6.533116631,      -5.621334469,      -13.26532893
          0,           0,          13,      -5.389248572,       -5.55497199,      -6.536010104,      -6.535892243,       -5.61839082,      -13.27967122
          0,           0,          14,      -5.386973464,      -5.564483793,      -6.537478154,      -6.537371658,      -5.614992446,      -13.29394333
          0,           0,          15,      -5.384330585,      -5.574733278,      -6.537405908,      -6.537310685,      -5.611080172,      -13.30814972
          0,           0,          16,       -5.38126689,      -5.585778767,      -6.535601733,      -6.535517555,       -5.60658183,      -13.32231273
          0,           0,          17,      -5.377741248,      -5.597653809,      -6.531947674,      -6.531874233,      -5.601434338,      -13.33643581
          0,           0,          18,      -5.373720209,      -5.610346718,      -6.526399158,      -6.526336054,      -5.595580208,       -13.3525435
          0,           0,          19,      -5.369182122,      -5.623769807,      -6.518980838,      -6.518927656,      -5.588972317,      -13.36646775
          0,           0,          20,      -5.364122253,      -5.637707741,       -6.50976259,      -6.509718881,      -5.581581978,      -13.37962076
          0,           0,          21,      -5.358589778,      -5.651866712,      -6.498827853,      -6.498793081,      -5.573439837,      -13.39220345
          0,           0,          22,      -5.352677893,      -5.665666253,      -6.486230855,      -6.486204078,      -5.564631339,      -13.40466987
          0,           0,          23,      -5.346474783,      -5.677931814,       -6.47190138,       -6.47188176,      -5.555256933,      -13.41699731
          0,           0,          24,      -5.340213032,       -5.68745922,      -6.455649914,      -6.455636534,      -5.545597009,      -13.42800984
          0,           0,          25,      -5.334268957,      -5.692964753,        -6.4371393,      -6.437130572,      -5.536128257,      -13.43817915
