x,y
1.058321671588080104e+00,-2.324009707995823071e+00
1.284254323984895363e+00,-2.180434499468121956e+00
1.532598663415227547e+00,-2.022582088197980354e+00
1.836936321403298766e+00,-1.829057063375200132e+00
2.189687801020485658e+00,-1.596675540719713293e+00
2.517532505920955010e+00,-1.336439703192029427e+00
2.789610330309186370e+00,-1.085696458816528098e+00
3.005560240336826894e+00,-8.362430057355334512e-01
3.132379067557198749e+00,-5.779668752636226703e-01
3.236786207744053456e+00,-3.108832474265779133e-01
3.285200029373168906e+00,-2.621558521475102210e-02
3.236808414731706662e+00,2.554451503923961808e-01
3.132566856248037990e+00,5.293252404247011933e-01
2.991382492201668519e+00,8.007059288876398062e-01
2.775369724818637973e+00,1.085290202072688448e+00
2.503223797866276357e+00,1.340029052325657499e+00
2.175766191073826405e+00,1.606920855385916669e+00
1.822017693919794956e+00,1.836754577500479657e+00
1.516660811407225307e+00,2.030738728387015080e+00
1.267153872736862752e+00,2.189142056873866871e+00
1.054589739629200551e+00,2.324009707995823071e+00
