x,y
3.514714423860822112e+00,-6.045931117210004757e+00
3.270649564879281268e+00,-5.908862709333853047e+00
2.978278666496276816e+00,-5.738797170110045975e+00
2.633807450294494146e+00,-5.524547763567948522e+00
2.239401263611656923e+00,-5.289930121574018429e+00
1.867089782203946502e+00,-5.038789118374032761e+00
1.508549064159393271e+00,-4.792614919133484364e+00
1.170402496814727744e+00,-4.549976944258170342e+00
8.736215273993355179e-01,-4.314543059228785893e+00
6.115026684488569231e-01,-4.057550276363534714e+00
3.583732542991637793e-01,-3.815311243890651571e+00
1.458537491049084478e-01,-3.558190225889639624e+00
-4.477795556613373140e-02,-3.314893602659659155e+00
-1.908318700790404554e-01,-3.075544714262442803e+00
-3.267371018273488303e-01,-2.841973866069955168e+00
-4.474880314554487981e-01,-2.576876350146318551e+00
-5.647304273332869329e-01,-2.339227948204747332e+00
-6.469832363128660280e-01,-2.094323276808219170e+00
-7.269767227172851953e-01,-1.841211267214800884e+00
-8.019561812537057133e-01,-1.583227591189955152e+00
-8.627857695988245812e-01,-1.333336429271314794e+00
-9.087853646959576093e-01,-1.076383040818784886e+00
-9.532336382184709578e-01,-8.544474535488656430e-01
-9.841928186416626367e-01,-6.127728060153978529e-01
-1.010529096875871780e+00,-3.553431807085871696e-01
-1.026241289956228986e+00,-1.112513889425567337e-01
-1.026488376753670995e+00,1.081914128735661507e-01
-1.024884534972054562e+00,3.574273494471396084e-01
-1.014745835985455980e+00,5.934689676921282020e-01
-9.827736150196617615e-01,8.543400800387773719e-01
-9.337243227277483015e-01,1.095003537434552365e+00
-8.886777718407765647e-01,1.346419224382511048e+00
-8.440067302158897888e-01,1.571911318626786791e+00
-7.938770781925745812e-01,1.822558710218539879e+00
-7.245329493113925601e-01,2.057031615105058275e+00
-6.456211339405606431e-01,2.303257840685546398e+00
-5.561628982680182354e-01,2.538095117280525947e+00
-4.750112340109688969e-01,2.795424989956829975e+00
-3.604475219590324020e-01,3.016637853878949116e+00
-2.339776543889725557e-01,3.264185003537152241e+00
-6.994645959990364315e-02,3.511814509784537019e+00
1.187412885427474585e-01,3.767831581644713879e+00
3.453669694662093725e-01,4.030504482798278332e+00
5.907819417715072241e-01,4.282639044336974621e+00
8.387656528779438014e-01,4.518450516276061535e+00
1.143312681760106697e+00,4.763801183684596374e+00
1.487998287354196814e+00,5.013760516286961177e+00
1.830837736998285559e+00,5.260433419075394745e+00
2.164649379866463885e+00,5.498185924786541889e+00
2.441967857497079120e+00,5.697043095981435101e+00
2.676065125397273370e+00,5.872506295596913617e+00
2.895469456672668418e+00,6.015161668216542523e+00
