"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -5.358670451,       -16.1372564,      -16.48362933,      -15.93839612,      -5.151544958,      -12.31530589
          0,           0,           1,      -5.511681626,      -5.823372347,      -6.419207973,       -5.56779381,      -5.310980736,      -12.32069263
          0,           0,           2,      -5.547005434,      -5.858918627,      -6.406183748,       -5.61860241,      -5.342872572,      -12.56111308
          0,           0,           3,      -5.581423221,      -5.878618094,      -6.368601433,      -5.670750265,      -5.373105035,      -12.70925569
          0,           0,           4,      -5.618030042,      -5.878002851,      -6.324049833,      -5.724397971,      -5.405642113,      -12.80776312
          0,           0,           5,      -5.655498732,      -5.860598137,       -6.28340851,      -5.774480776,      -5.439579072,      -12.86366664
          0,           0,           6,        -5.6836566,      -5.840881061,      -6.252924207,      -5.807986685,      -5.463563326,        -12.895497
          0,           0,           7,      -5.690348222,      -5.833768582,      -6.232004779,      -5.817227252,      -5.461662905,      -12.91494429
          0,           0,           8,      -5.683877721,      -5.840730382,      -6.217129136,      -5.812018795,      -5.445665183,      -12.91789634
          0,           0,           9,      -5.681253671,      -5.842819179,      -6.201776193,      -5.817651857,      -5.437217056,      -12.90932934
          0,           0,          10,      -5.687399899,      -5.839269356,      -6.192457297,      -5.837197702,      -5.441664639,      -12.89765869
          0,           0,          11,      -5.696996744,       -5.84152478,      -6.191746771,       -5.85699706,       -5.45222955,      -12.88933409
          0,           0,          12,        -5.7066427,      -5.852757933,       -6.19826634,      -5.868899637,       -5.46357441,      -12.88118106
          0,           0,          13,      -5.715051572,      -5.865208942,      -6.207532562,      -5.875045088,       -5.47350725,      -12.87316436
          0,           0,          14,      -5.721694163,      -5.872634793,      -6.216208946,      -5.880195856,      -5.481466461,      -12.86659678
          0,           0,          15,      -5.726221141,      -5.876654187,       -6.22266236,      -5.886795986,      -5.486476185,      -12.86120245
          0,           0,          16,       -5.72911736,      -5.881100275,      -6.226611176,      -5.893238802,      -5.489309435,      -12.85600388
          0,           0,          17,      -5.731669393,      -5.885251329,      -6.228192808,      -5.897329977,      -5.492199086,       -12.8511828
          0,           0,          18,      -5.733849536,      -5.886498606,      -6.229022915,      -5.899587165,      -5.494950934,      -12.84751844
          0,           0,          19,      -5.735601049,      -5.886872761,      -6.230065898,      -5.901996808,      -5.496963737,      -12.84425067
          0,           0,          20,      -5.736046287,      -5.888206853,      -6.230844795,       -5.90498668,      -5.497100401,      -12.84157264
          0,           0,          21,      -5.736383501,      -5.889760442,      -6.230647741,      -5.907864014,      -5.497250352,      -12.83839653
          0,           0,          22,      -5.736596319,      -5.889247477,       -6.22967053,      -5.909297936,      -5.497451256,      -12.83590526
          0,           0,          23,      -5.736934293,      -5.888388526,      -6.228873884,      -5.909597106,      -5.497832268,      -12.83319994
          0,           0,          24,      -5.736560497,      -5.888059505,       -6.22824697,      -5.909985826,      -5.497107578,       -12.8312276
          0,           0,          25,      -5.735866219,       -5.88834463,      -6.227513705,      -5.911108988,      -5.495940189,      -12.82925889
          0,           0,          26,      -5.735331673,      -5.887658041,      -6.226430668,      -5.912201814,      -5.495150827,      -12.82730787
