"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,       -4.53526638,       -15.5861103,      -16.18009962,      -16.19645609,      -4.328140887,      -11.58070548
          0,           0,           1,      -4.686965202,      -4.728909151,       -5.79177995,      -5.791441853,      -4.482312009,       -11.5786069
          0,           0,           2,      -4.689135102,      -4.777707379,      -5.758512526,       -5.75827618,      -4.475941691,      -11.86498582
          0,           0,           3,      -4.691522334,      -4.841359759,      -5.666542331,      -5.666398161,        -4.4686984,       -11.9882218
          0,           0,           4,      -4.697028818,       -4.91964736,      -5.570483477,      -5.570407269,      -4.464662481,      -12.09592904
          0,           0,           5,      -4.711269802,      -4.998696629,      -5.486776967,      -5.486740654,       -4.47103286,      -12.16046528
          0,           0,           6,      -4.742525947,      -5.034878623,      -5.418694748,       -5.41867709,      -4.499747318,       -12.1853135
          0,           0,           7,        -4.7950494,      -4.995657296,      -5.359714877,      -5.359704849,      -4.557773107,      -12.18781695
          0,           0,           8,      -4.839886905,      -4.923589111,      -5.316877477,      -5.316855007,       -4.61480123,      -12.18008359
          0,           0,           9,       -4.81439556,      -4.878746394,       -5.28616838,      -5.286153501,      -4.579175654,      -12.15069953
          0,           0,          10,      -4.739930617,      -4.890603656,      -5.261808949,      -5.261804543,      -4.477656349,      -12.14035946
          0,           0,          11,      -4.693602755,      -4.955561264,      -5.237056765,      -5.237056161,      -4.417585591,      -12.14049377
          0,           0,          12,      -4.698826168,      -5.005410275,      -5.223673841,      -5.223665635,      -4.420785992,      -12.09213249
          0,           0,          13,      -4.736329003,      -4.982337613,       -5.22343517,      -5.223419997,      -4.465572526,      -12.05104721
          0,           0,          14,      -4.772402532,      -4.934652052,      -5.230879669,      -5.230867688,      -4.515046257,      -12.04352578
          0,           0,          15,      -4.780739562,      -4.937589903,       -5.24651388,      -5.246509284,      -4.525868494,      -12.04025667
          0,           0,          16,      -4.773353201,      -4.993028464,      -5.265826226,       -5.26581428,      -4.512288782,      -12.02723427
          0,           0,          17,      -4.774310622,      -5.038868559,      -5.272602035,      -5.272574286,      -4.512771692,      -12.00044196
          0,           0,          18,       -4.78478819,      -5.013536723,      -5.267596635,      -5.267573347,      -4.529448754,      -11.98021205
          0,           0,          19,      -4.790899434,      -4.980000138,      -5.260731611,      -5.260711159,      -4.538678182,      -11.97371332
