"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.889437317,      -15.72135057,      -16.36250119,      -16.35756884,      -4.682311824,      -11.93447999
          0,           0,           1,      -5.041121243,      -5.082556955,      -6.147588628,      -6.147249992,      -4.836509444,      -11.93211935
          0,           0,           2,      -5.043498022,      -5.131421777,      -6.114796701,      -6.114353556,      -4.830366334,      -12.21805222
          0,           0,           3,      -5.046033263,      -5.195044028,      -6.022873694,      -6.022425669,      -4.823277769,      -12.34134093
          0,           0,           4,      -5.051640676,      -5.273207653,      -5.926756106,      -5.926337182,      -4.819338142,      -12.44897162
          0,           0,           5,      -5.065941491,      -5.352078973,      -5.842980049,      -5.842588327,      -4.825758904,      -12.51362939
          0,           0,           6,      -5.097229989,      -5.388349217,       -5.77470502,      -5.774336906,      -4.854495138,      -12.53879305
          0,           0,           7,       -5.14980174,      -5.349599268,      -5.715452864,      -5.715115354,      -4.912575791,      -12.54162557
          0,           0,           8,       -5.19470997,      -5.277869935,      -5.672545504,      -5.672225635,      -4.969699836,      -12.53413405
          0,           0,           9,      -5.169258626,      -5.233164798,      -5.641860981,      -5.641545891,      -4.934100103,      -12.50498274
          0,           0,          10,      -5.094775425,      -5.245038298,      -5.617475434,      -5.617156522,      -4.832524156,      -12.49479762
          0,           0,          11,      -5.048437618,      -5.309907605,      -5.592638813,      -5.592354392,      -4.772430005,      -12.49499458
          0,           0,          12,      -5.053652429,      -5.359634946,      -5.579073069,       -5.57880711,      -4.775619905,      -12.44673506
          0,           0,          13,      -5.091157558,      -5.336590378,      -5.578742194,      -5.578476685,       -4.82041143,      -12.40570907
          0,           0,          14,      -5.127234314,      -5.289028628,      -5.586164774,      -5.585894998,      -4.869887573,      -12.39822463
          0,           0,          15,      -5.135552291,      -5.291996435,      -5.601822281,      -5.601554346,      -4.880681869,      -12.39494899
          0,           0,          16,      -5.128141216,      -5.347310144,      -5.621092334,      -5.620821213,      -4.867073641,      -12.38191491
