"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -5.284118199,      -16.01487273,      -17.06998648,      -16.22000319,      -5.393262668,      -12.80138153
          0,           0,           1,      -5.431592381,      -5.532740993,      -6.440490772,       -5.69019718,      -5.549549017,       -12.7688847
          0,           0,           2,      -5.443878124,      -5.609183732,      -6.517665638,      -5.736728034,      -5.547356945,      -12.97763098
          0,           0,           3,      -5.443649543,      -5.664592568,      -6.531124123,      -5.765419689,      -5.536749788,      -13.08721369
          0,           0,           4,      -5.439326463,      -5.721918758,      -6.497013716,      -5.795479384,      -5.524304691,      -13.16491508
          0,           0,           5,      -5.436693464,      -5.789522482,      -6.443376448,      -5.831446668,      -5.515273825,      -13.22189257
          0,           0,           6,      -5.440088669,      -5.861549967,      -6.382495731,      -5.868890257,      -5.514310844,        -13.258524
          0,           0,           7,      -5.453420308,       -5.90350878,      -6.311381556,      -5.895348614,      -5.526000621,      -13.27288124
          0,           0,           8,      -5.479948748,      -5.877331046,      -6.234968286,      -5.899715264,      -5.553707893,       -13.2645789
          0,           0,           9,      -5.510927702,      -5.813683475,      -6.167130579,      -5.885658421,      -5.585134025,      -13.24577992
          0,           0,          10,      -5.522700378,      -5.755465403,      -6.113560769,      -5.847081596,      -5.591862027,      -13.22379938
          0,           0,          11,      -5.493562262,      -5.719297746,       -6.07493587,      -5.793850522,      -5.549185639,      -13.20682688
          0,           0,          12,      -5.442787868,      -5.716414745,      -6.046572199,       -5.74346368,      -5.484058142,      -13.19090704
          0,           0,          13,      -5.399638447,      -5.746965436,      -6.020269082,      -5.709693935,      -5.432031281,      -13.18027325
          0,           0,          14,      -5.376292157,      -5.788542326,      -5.994568395,      -5.699450794,      -5.404867292,      -13.16834672
          0,           0,          15,      -5.374706466,      -5.799412099,      -5.978304976,      -5.709936843,      -5.402683356,      -13.14577812
          0,           0,          16,      -5.393177843,      -5.777185324,      -5.980167805,      -5.734147161,      -5.422776377,      -13.11704719
          0,           0,          17,      -5.422947123,      -5.760879678,      -5.998046252,      -5.758983093,      -5.456424412,      -13.09118286
          0,           0,          18,      -5.451082091,      -5.764815446,      -6.020829168,      -5.774393403,      -5.491014707,       -13.0773104
          0,           0,          19,      -5.466601547,      -5.784527991,       -6.04026202,      -5.782076447,      -5.512342969,       -13.0750336
          0,           0,          20,      -5.470554836,      -5.814348507,        -6.0544778,      -5.786119652,      -5.517139363,      -13.07268289
          0,           0,          21,      -5.471060818,      -5.841238246,      -6.066292861,       -5.79155959,      -5.516104365,      -13.06307178
          0,           0,          22,      -5.478814616,      -5.860651636,      -6.077219125,      -5.795803165,      -5.525139564,      -13.04928512
          0,           0,          23,      -5.488940958,      -5.874493331,      -6.083324205,      -5.796349216,      -5.538054537,      -13.03467467
          0,           0,          24,      -5.495529976,      -5.880090588,      -6.082468257,       -5.79400181,       -5.54794577,      -13.01853102
          0,           0,          25,      -5.497490077,      -5.873873285,      -6.076183903,      -5.789571837,       -5.55314427,      -13.00604408
          0,           0,          26,      -5.492846202,      -5.859594467,      -6.068171952,      -5.784541103,      -5.548645914,      -12.99717635
          0,           0,          27,      -5.484368877,      -5.852654913,      -6.063617743,      -5.781523602,      -5.537233607,      -12.99033061
          0,           0,          28,      -5.476056844,      -5.854864463,      -6.062995759,      -5.780080342,      -5.525728523,      -12.98248038
          0,           0,          29,      -5.473065795,      -5.863263863,      -6.065013479,      -5.779560538,      -5.520998356,      -12.97356138
          0,           0,          30,      -5.474347858,       -5.87144186,      -6.066130755,      -5.778838111,      -5.521899696,      -12.96355681
          0,           0,          31,      -5.478395933,       -5.87217613,      -6.064894614,      -5.777959411,      -5.527368687,      -12.95070558
          0,           0,          32,      -5.481448443,       -5.86303686,      -6.061072227,      -5.775807501,      -5.532920296,      -12.93906777
          0,           0,          33,      -5.480395029,      -5.847632387,      -6.057430963,      -5.773718731,      -5.532849407,      -12.92923707
          0,           0,          34,      -5.474885324,      -5.839399674,       -6.05574686,      -5.771896345,      -5.525420534,      -12.92586511
          0,           0,          35,      -5.467952019,      -5.841429463,      -6.056809621,      -5.770700598,      -5.515692899,      -12.92414941
          0,           0,          36,      -5.465000493,      -5.849665548,      -6.060060994,      -5.769876074,      -5.511049223,      -12.91987739
          0,           0,          37,       -5.46682128,      -5.854300281,      -6.062478645,      -5.768622543,      -5.512539281,      -12.91350403
          0,           0,          38,      -5.471235424,      -5.848246076,      -6.061981346,       -5.76597128,      -5.518446893,       -12.9035485
          0,           0,          39,      -5.473695649,      -5.829872769,      -6.059141066,       -5.76190138,      -5.523388865,      -12.88868734
          0,           0,          40,      -5.469806964,        -5.8037552,      -6.055179347,      -5.755392465,      -5.520025231,       -12.8759164
          0,           0,          41,      -5.460322396,      -5.781629338,      -6.052396087,      -5.747215006,      -5.508103811,      -12.86950481
          0,           0,          42,      -5.449277753,      -5.766658727,      -6.052654101,       -5.73812928,      -5.493789118,      -12.86317679
          0,           0,          43,      -5.441063987,      -5.750756472,        -6.0542219,       -5.72788193,      -5.482927784,      -12.85180089
          0,           0,          44,      -5.436682735,      -5.726498779,      -6.054455917,      -5.716057927,      -5.476925242,      -12.83956911
          0,           0,          45,      -5.433980616,      -5.694143819,      -6.052501092,      -5.702035063,      -5.474474017,      -12.82275785
          0,           0,          46,      -5.427165706,      -5.655989062,      -6.047365484,       -5.68456488,       -5.46882321,      -12.80136307
          0,           0,          47,      -5.413475559,      -5.616248721,      -6.040250415,      -5.664497744,      -5.454928565,      -12.78067608
          0,           0,          48,      -5.394853622,      -5.581031102,      -6.034472501,      -5.643332401,      -5.434402761,      -12.76525576
          0,           0,          49,      -5.375435157,      -5.551088713,      -6.031159996,      -5.622602117,      -5.412982162,      -12.75087548
          0,           0,          50,      -5.358880726,      -5.522705207,      -6.028463756,      -5.602977854,      -5.395260751,      -12.73500832
          0,           0,          51,      -5.346100905,      -5.493979289,      -6.024861396,      -5.584228925,      -5.382631679,      -12.72004119
          0,           0,          52,      -5.334998691,      -5.465699736,      -6.019287506,      -5.565604962,       -5.37345994,      -12.70423072
          0,           0,          53,      -5.322032599,      -5.438485514,      -6.010884006,      -5.547008838,       -5.36327251,       -12.6863675
          0,           0,          54,      -5.306199771,      -5.413406786,      -6.001573619,      -5.529206386,      -5.349598918,      -12.66976535
          0,           0,          55,      -5.289172395,      -5.392275368,      -5.994259473,      -5.513179604,      -5.333814746,      -12.65753233
          0,           0,          56,      -5.273426264,      -5.375196143,      -5.989402002,       -5.49955147,      -5.319111232,      -12.64818046
          0,           0,          57,       -5.26090132,      -5.360607955,      -5.985553906,      -5.488280861,        -5.3080148,      -12.63964484
          0,           0,          58,      -5.251999643,       -5.34738658,      -5.981567682,      -5.478618094,      -5.301340983,      -12.63271278
          0,           0,          59,      -5.245425918,      -5.335500716,       -5.97649363,      -5.469873208,      -5.297947215,      -12.62595643
          0,           0,          60,      -5.238918096,       -5.32484022,       -5.96979524,      -5.461920451,      -5.294854546,      -12.61810136
          0,           0,          61,      -5.231541644,      -5.315585674,      -5.963127342,      -5.455182083,      -5.290135944,      -12.61057673
          0,           0,          62,      -5.223833606,      -5.308489664,      -5.958284471,      -5.449937248,      -5.284084056,       -12.6057119
          0,           0,          63,      -5.217008751,      -5.303805626,      -5.955274124,      -5.446350355,       -5.27834751,      -12.60329604
          0,           0,          64,      -5.212207732,      -5.300748584,      -5.953114495,      -5.444097559,      -5.274604254,      -12.60218675
          0,           0,          65,      -5.209998279,      -5.298467236,      -5.951018824,      -5.442641064,      -5.273857442,      -12.60199717
          0,           0,          66,       -5.20976026,       -5.29667814,      -5.948197535,      -5.441530805,      -5.275693734,      -12.60184917
          0,           0,          67,      -5.209907478,      -5.295179573,      -5.944508772,      -5.440773764,      -5.278074147,      -12.60054246
          0,           0,          68,       -5.20921418,      -5.293935282,      -5.940836003,      -5.440550821,      -5.279002139,      -12.59862903
          0,           0,          69,      -5.207612917,      -5.293513162,      -5.938136868,      -5.440931294,       -5.27808696,      -12.59746827
          0,           0,          70,      -5.205808088,       -5.29449007,      -5.936607261,      -5.441910145,      -5.276267191,      -12.59810891
          0,           0,          71,      -5.204919306,      -5.296528996,      -5.935693441,      -5.443465702,       -5.27517601,      -12.60024657
          0,           0,          72,      -5.205894786,      -5.298804329,      -5.934790536,      -5.445346568,      -5.276307822,      -12.60281554
          0,           0,          73,      -5.208674542,      -5.300955263,      -5.933524169,      -5.447269614,      -5.279943962,      -12.60556264
          0,           0,          74,      -5.211932141,      -5.302773635,      -5.931702254,      -5.449203456,      -5.284521859,      -12.60716229
          0,           0,          75,      -5.214084579,      -5.304203982,      -5.929456188,      -5.451128411,      -5.287656872,      -12.60706298
          0,           0,          76,      -5.214727045,      -5.305837806,        -5.9275648,      -5.453043657,      -5.288426483,      -12.60668836
          0,           0,          77,      -5.214509969,      -5.308530864,       -5.92655918,      -5.455201883,       -5.28757899,      -12.60769674
          0,           0,          78,      -5.214628094,      -5.312142641,      -5.926042672,      -5.457764588,      -5.286808282,      -12.61003676
          0,           0,          79,      -5.216305864,       -5.31586091,      -5.925590714,      -5.460550533,       -5.28793995,      -12.61325367
          0,           0,          80,      -5.219844183,      -5.319200144,      -5.925078053,      -5.463291126,      -5.291764737,      -12.61705864
          0,           0,          81,      -5.224012927,      -5.321973683,      -5.924058043,      -5.465783461,       -5.29691156,      -12.61941411
          0,           0,          82,      -5.227052882,      -5.324095957,      -5.922342545,      -5.467937991,      -5.300786022,      -12.61971275
          0,           0,          83,      -5.228407642,      -5.326162822,      -5.920773069,       -5.47007022,         -5.302215,      -12.61932218
          0,           0,          84,      -5.228576933,      -5.329061162,      -5.919883253,      -5.472434414,      -5.301694891,      -12.61931633
          0,           0,          85,      -5.228614198,      -5.332877258,      -5.919356415,      -5.475035418,      -5.300667273,      -12.62071182
          0,           0,          86,      -5.229884903,      -5.336873456,      -5.918981178,      -5.477764397,      -5.301142536,       -12.6236822
          0,           0,          87,      -5.232964666,      -5.340496462,      -5.918741595,      -5.480349097,      -5.304240232,      -12.62707637
          0,           0,          88,       -5.23696674,      -5.343487109,      -5.918090898,       -5.48251823,      -5.309052717,      -12.62952145
