x,y
2.422669697829654689e-01,-1.649140303790914475e+00
2.085472044944762793e-01,-1.507065259022717374e+00
1.702173690455299759e-01,-1.328604550336433654e+00
1.289030609130858984e-01,-1.119036641606607985e+00
8.609274431637348179e-02,-8.772364738757317815e-01
5.402117518016269493e-02,-6.453050770321669960e-01
3.139927959442145866e-02,-4.310319073954406721e-01
1.790809181758334923e-02,-2.168647339757607539e-01
1.328900432586666014e-02,-2.122550290458075084e-03
1.780279595511291557e-02,2.120526229240456417e-01
3.130133213315700047e-02,4.305531476833382443e-01
5.395669146946502348e-02,6.527184980864426667e-01
8.608179834910800743e-02,8.848396762180279485e-01
1.288087408202034378e-01,1.134158644190510934e+00
1.826596768583570451e-01,1.383467873189784925e+00
2.481321200472968447e-01,1.632964145821838908e+00
3.289810927595411272e-01,1.898579311055450969e+00
4.078127622348921566e-01,2.153562872435019759e+00
4.899134947529860673e-01,2.405864497278072278e+00
5.885110872941357041e-01,2.670333422617907182e+00
6.942059432566165533e-01,2.953642013779362419e+00
8.572019245752265926e-01,3.219883768583701400e+00
1.005609058137450829e+00,3.450576700167650834e+00
1.134116853215864751e+00,3.629332085702754895e+00
1.258641679665871926e+00,3.783286523503571086e+00
