x,y
4.053747183254786668e-01,-2.266098408468611769e+00
3.578991163798740938e-01,-2.123593120344527296e+00
3.028845060893467500e-01,-1.945704505553746966e+00
2.416421811240059836e-01,-1.732047637300311527e+00
1.757189501353673133e-01,-1.482954036618461702e+00
1.213608296598707170e-01,-1.233340815415883807e+00
7.810751857076370097e-02,-9.841281991595788314e-01
4.518743474142905558e-02,-7.523976493454236358e-01
2.170127180644454423e-02,-5.383024208607247729e-01
7.258691719600030012e-03,-3.238572300904393186e-01
1.656817299979018721e-03,-1.097056858601145046e-01
4.839458397456586347e-03,1.049826407711590137e-01
1.704455675397609227e-02,3.193479315151230846e-01
3.741176189695094578e-02,5.339290357766576234e-01
6.664803600311275389e-02,7.660033780937627323e-01
1.054268008640834031e-01,1.015097036251520146e+00
1.524889253888811469e-01,1.265441798031850196e+00
2.094161380359105262e-01,1.515473993054978097e+00
2.736774382591247168e-01,1.770170575099851984e+00
3.419283455780574021e-01,2.020758975123176260e+00
4.242340047937551706e-01,2.272726081669850462e+00
5.158495337263946379e-01,2.523470713982080227e+00
6.220591226287318642e-01,2.784378551304860228e+00
7.402796264698595641e-01,3.033877872288746946e+00
8.687962238770643442e-01,3.287822780158358160e+00
1.008479155436490693e+00,3.536039443246475678e+00
1.138153900894003812e+00,3.752823613942189329e+00
1.247346836302961393e+00,3.932545786815550226e+00
1.338853056703294797e+00,4.077977748147598724e+00
