x,y
2.584145666306575162e+00,-6.432504616554949095e+00
2.528468849349665870e+00,-6.404427906355032007e+00
2.447614889020393036e+00,-6.291546443620553042e+00
2.357426483598676903e+00,-6.203858753523000757e+00
2.223979291259871705e+00,-6.124163113411638548e+00
2.092712611305703074e+00,-5.987417871521396151e+00
1.951467011014406783e+00,-5.935846155120448664e+00
1.824439003971266793e+00,-5.716465374311574976e+00
1.675792050937106703e+00,-5.700672316641270498e+00
1.551283361973424757e+00,-5.468720337232717554e+00
1.402975569547782353e+00,-5.455796613102102732e+00
1.294329800961370180e+00,-5.208286656742239451e+00
1.157849771253192550e+00,-5.201276748430925245e+00
1.049606681920660867e+00,-4.978944264229508754e+00
9.150218246534145283e-01,-4.954383751234183286e+00
8.160886561681912621e-01,-4.748109098933227301e+00
6.900947972858032520e-01,-4.735712906202444117e+00
5.945390281482244577e-01,-4.507577252297938486e+00
4.805062309096833628e-01,-4.501410072280481955e+00
3.927630518756639599e-01,-4.251088213830531259e+00
2.868257199068627861e-01,-4.225517814590053156e+00
2.041093827137030747e-01,-4.028613127890851686e+00
1.054507915660958528e-01,-3.988274673143258120e+00
2.923716222223186889e-02,-3.796831134297362631e+00
-5.931396274370471372e-02,-3.747480763797903958e+00
-1.288290866286037617e-01,-3.559895654997000225e+00
-2.089868430248210396e-01,-3.485340489750052839e+00
-2.698296711103732592e-01,-3.278079138393257708e+00
-3.411919157113078582e-01,-3.233349354016584076e+00
-3.959251841459419663e-01,-2.998288464456141167e+00
-4.585214852265119267e-01,-2.990008418990687922e+00
-5.061276709923905326e-01,-2.734045110520098021e+00
-5.620262749583712081e-01,-2.733338035765912277e+00
-6.035278950160689604e-01,-2.483889719328054912e+00
-6.544509191516622026e-01,-2.483053459530020657e+00
-6.913125723025487224e-01,-2.230439370109156716e+00
-7.354522434810940590e-01,-2.217237680208879347e+00
-7.678026572609392142e-01,-1.980933765092721233e+00
-8.070853643723333581e-01,-1.947351935841552306e+00
-8.359696239888892988e-01,-1.758061729248735716e+00
-8.715551141539780167e-01,-1.706116730736179310e+00
-8.972494495590374042e-01,-1.507183974219874933e+00
-9.267998415118893218e-01,-1.480414734477852656e+00
-9.490384821757913425e-01,-1.243135295685503516e+00
-9.731456078750985172e-01,-1.242100420929900695e+00
-9.903379155578011517e-01,-1.014787919942166772e+00
-1.009962313114444177e+00,-1.014482792876251427e+00
-1.022401477108370038e+00,-7.770826352330353348e-01
-1.037085669276835764e+00,-7.722872576707011660e-01
-1.046521093548122394e+00,-5.135851242876314782e-01
-1.055784160159171536e+00,-5.056015172011250058e-01
-1.061450358592272769e+00,-2.732073916019973070e-01
-1.067056242593454218e+00,-2.605407071801333907e-01
-1.069298275917647478e+00,-1.164407348567304129e-02
-1.071440599328148391e+00,0.000000000000000000e+00
-1.069298275917647478e+00,1.164407348567304129e-02
-1.067056242593454218e+00,2.605407071801333907e-01
-1.061450358592272769e+00,2.732073916019973070e-01
-1.055784160159171536e+00,5.056015172011250058e-01
-1.046521093548122394e+00,5.135851242876314782e-01
-1.037085669276835764e+00,7.722872576707011660e-01
-1.022401477108370038e+00,7.770826352330353348e-01
-1.009962313114444177e+00,1.014482792876251427e+00
-9.903379155578011517e-01,1.014787919942166772e+00
-9.731456078750985172e-01,1.242100420929900695e+00
-9.490384821757913425e-01,1.243135295685503516e+00
-9.267998415118893218e-01,1.480414734477852656e+00
-8.972494495590374042e-01,1.507183974219874933e+00
-8.715551141539780167e-01,1.706116730736179310e+00
-8.359696239888892988e-01,1.758061729248735716e+00
-8.070853643723333581e-01,1.947351935841552306e+00
-7.678026572609392142e-01,1.980933765092721233e+00
-7.354522434810940590e-01,2.217237680208879347e+00
-6.913125723025487224e-01,2.230439370109156716e+00
-6.544509191516622026e-01,2.483053459530020657e+00
-6.035278950160689604e-01,2.483889719328054912e+00
-5.620262749583712081e-01,2.733338035765912277e+00
-5.061276709923905326e-01,2.734045110520098021e+00
-4.585214852265119267e-01,2.990008418990687922e+00
-3.959251841459419663e-01,2.998288464456141167e+00
-3.411919157113078582e-01,3.233349354016584076e+00
-2.698296711103732592e-01,3.278079138393257708e+00
-2.089868430248210396e-01,3.485340489750052839e+00
-1.288290866286037617e-01,3.559895654997000225e+00
-5.931396274370471372e-02,3.747480763797903958e+00
2.923716222223186889e-02,3.796831134297362631e+00
1.054507915660958528e-01,3.988274673143258120e+00
2.041093827137030747e-01,4.028613127890851686e+00
2.868257199068627861e-01,4.225517814590053156e+00
3.927630518756639599e-01,4.251088213830531259e+00
4.805062309096833628e-01,4.501410072280481955e+00
5.945390281482244577e-01,4.507577252297938486e+00
6.900947972858032520e-01,4.735712906202444117e+00
8.160886561681912621e-01,4.748109098933227301e+00
9.150218246534145283e-01,4.954383751234183286e+00
1.049606681920660867e+00,4.978944264229508754e+00
1.157849771253192550e+00,5.201276748430925245e+00
1.294329800961370180e+00,5.208286656742239451e+00
1.402975569547782353e+00,5.455796613102102732e+00
1.551283361973424757e+00,5.468720337232717554e+00
1.675792050937106703e+00,5.700672316641270498e+00
1.824439003971266793e+00,5.716465374311574976e+00
1.951467011014406783e+00,5.935846155120448664e+00
2.092712611305703074e+00,5.987417871521396151e+00
2.223979291259871705e+00,6.124163113411638548e+00
2.357426483598676903e+00,6.203858753523000757e+00
2.447614889020393036e+00,6.291546443620553042e+00
2.528468849349665870e+00,6.404427906355032007e+00
2.584145666306575162e+00,6.432504616554949095e+00
