x,y
4.116538888386317430e-01,-4.651655890620672196e+00
3.642345813512802288e-01,-4.508995817749054780e+00
3.091859559672219260e-01,-4.330572055427582612e+00
2.482328093222209153e-01,-4.117361489724327583e+00
1.826693881579807277e-01,-3.867765277132883650e+00
1.289019497122083635e-01,-3.623034987639595084e+00
8.609186727660034233e-02,-3.381234734759225979e+00
5.402049398422237303e-02,-3.148230760847877452e+00
3.139883681706023832e-02,-2.933957523091557107e+00
1.790743616649081993e-02,-2.719790285809757791e+00
-1.169575497763497562e-01,-2.489488139306854197e+00
-2.420352061135429000e-01,-2.258404678090336404e+00
-3.659157457351684961e-01,-2.005423530494522488e+00
-4.823904252733504094e-01,-1.748581594212772927e+00
-6.014847885540552941e-01,-1.499229701010735827e+00
-7.156726677758351585e-01,-1.234215757185286533e+00
-8.364646820340835287e-01,-9.780367650501025079e-01
-8.229215019771030093e-01,-7.293060374456452610e-01
-8.107312111173357039e-01,-4.848090362745329784e-01
-7.956474894114902163e-01,-2.492882476730668984e-01
-7.871311437061854210e-01,-8.720256961309402755e-03
-7.623688538415089866e-01,2.326559216439063604e-01
-7.374602941785539656e-01,4.730372306082273326e-01
-6.983066161019462204e-01,7.448832865927244029e-01
-6.579342614582606164e-01,9.963301808296978201e-01
-6.176580916813441124e-01,1.250595046432463331e+00
-5.737341517039709071e-01,1.486104135493655498e+00
-5.167396283830916204e-01,1.739237296221020301e+00
-4.696744044167653342e-01,1.981282392209703147e+00
-4.166362926619393559e-01,2.248528297949623500e+00
-3.600603812762668277e-01,2.469926992124253928e+00
-3.014611646788458721e-01,2.704595451335330303e+00
-2.432692351341246839e-01,2.948696498851198555e+00
-1.696393023899622765e-01,3.206211384344886284e+00
-9.614272226606090932e-02,3.460996308988266712e+00
-2.849110984802238900e-02,3.709488890491998703e+00
5.302723792621066856e-02,3.962200118453947262e+00
1.322123703956603613e-01,4.235085509144341565e+00
2.151914151396069896e-01,4.511923539278269502e+00
3.102365474360329611e-01,4.773952982746636486e+00
3.988090830998761160e-01,5.010832127142736958e+00
4.867897366583346930e-01,5.235988843080760624e+00
5.877974493971892533e-01,5.484769502347640824e+00
6.813833790974956894e-01,5.738253683343036649e+00
7.860856814852782426e-01,5.989730788619962887e+00
8.827886871738093166e-01,6.214781169871707256e+00
9.797245128623076615e-01,6.461649712134192036e+00
1.063956051826477012e+00,6.720123925870590931e+00
1.166564255714416465e+00,6.977327436699972019e+00
1.263366750070026967e+00,7.228284653235266255e+00
1.372160715477807269e+00,7.457091012662581342e+00
1.483673014572688409e+00,7.712018647855452436e+00
1.593281358242034873e+00,7.963456243767843112e+00
1.706984047140393868e+00,8.200802347981014151e+00
1.841941003050122871e+00,8.440427461332014047e+00
1.967155366897582969e+00,8.673715272611310922e+00
2.080384556497846482e+00,8.932267687641658682e+00
2.193767406872340509e+00,9.171694300495659036e+00
2.196729008402143357e+00,9.395801361609290581e+00
2.337786704063415488e+00,9.655042601974454186e+00
2.680263548851013145e+00,9.907011394481081368e+00
2.774157161985124631e+00,1.016628124507573716e+01
2.817246739115033538e+00,1.042854304447933700e+01
2.941900947025843482e+00,1.067012509752760607e+01
3.014683684894016391e+00,1.092763487405174416e+01
3.299112826347351035e+00,1.118235460824363869e+01
3.327637088911874041e+00,1.143847133906988134e+01
3.176640233584812290e+00,1.169902551649035871e+01
3.405746285166058929e+00,1.197230048313900497e+01
3.554351137978689401e+00,1.223335288727021464e+01
3.662359488623482484e+00,1.249433362958850324e+01
3.683315630231584592e+00,1.275438045227265604e+01
3.492062138421194728e+00,1.300229040688865467e+01
3.445926440375191913e+00,1.324597326821677967e+01
3.865751244953700372e+00,1.349524329864716421e+01
4.131786937986101194e+00,1.369707034790253530e+01
4.508805968693323507e+00,1.387142408369006219e+01
4.851958627973283811e+00,1.402206920349335562e+01
