x,y
2.306167905747642966e+00,-5.528169916531481931e+00
2.242167879262610075e+00,-5.396698258430152606e+00
2.139103357412493356e+00,-5.390673921963611726e+00
2.031050934359434290e+00,-5.231593212233734747e+00
1.882704240216471314e+00,-5.217377309965622878e+00
1.753788429556038864e+00,-5.003061442889950250e+00
1.589121880302763579e+00,-4.975757995499418662e+00
1.456547140901973458e+00,-4.749309926547787164e+00
1.294187813478203442e+00,-4.725719065151431586e+00
1.169489772357004131e+00,-4.508905184443120717e+00
1.017730059004326337e+00,-4.481548910307419753e+00
9.054383313308240755e-01,-4.238603740253231500e+00
7.702151963071692808e-01,-4.228337037389153785e+00
6.689509664441198877e-01,-4.002776021790968919e+00
5.489661912690303458e-01,-3.996764034710146518e+00
4.578271368056827106e-01,-3.763676280808913255e+00
3.471461411876576864e-01,-3.732979217423246787e+00
2.658777576515685692e-01,-3.503249146431297589e+00
1.665170964697191280e-01,-3.463817414041463039e+00
9.333123189399951392e-02,-3.259081512012264703e+00
7.627744290323160148e-03,-3.231912021803391433e+00
-5.530120155963951650e-02,-3.009349392315783689e+00
-1.302226032950439261e-01,-2.996904974150193190e+00
-1.853788543348750817e-01,-2.754233559714509560e+00
-2.504523312912020350e-01,-2.754197176690999171e+00
-2.973064603481300194e-01,-2.512531071223995660e+00
-3.529692511928771981e-01,-2.492178870776256439e+00
-3.934351100232843512e-01,-2.252259607148634935e+00
-4.429354419797549847e-01,-2.236490510017066669e+00
-4.770219944449898275e-01,-1.993975473979076485e+00
-5.175190125458769552e-01,-1.981359817474693141e+00
-5.454761907228964368e-01,-1.755833034681809401e+00
-5.793599750550103566e-01,-1.743754330877359759e+00
-6.041979373921887442e-01,-1.489717454395510954e+00
-6.351901352738866802e-01,-1.489270903557151859e+00
-6.573327542686815406e-01,-1.261060105225482397e+00
-6.853194476407525881e-01,-1.238048711670683533e+00
-7.058143094490485492e-01,-1.008613858226831805e+00
-7.298757973573988256e-01,-1.001370877704836904e+00
-7.475583675940955519e-01,-7.571216008879920745e-01
-7.676536429431064512e-01,-7.515444418826660034e-01
-7.811188679000531376e-01,-5.035460587445790281e-01
-7.944942844180706842e-01,-4.872718201829241425e-01
-8.016084897144307719e-01,-2.501120911790179480e-01
-8.086240614172965913e-01,-2.500292740084907317e-01
-8.120586596749950203e-01,-8.485793680339609457e-03
-8.152463542921626338e-01,0.000000000000000000e+00
-8.120586596749950203e-01,8.485793680339609457e-03
-8.086240614172965913e-01,2.500292740084907317e-01
-8.016084897144307719e-01,2.501120911790179480e-01
-7.944942844180706842e-01,4.872718201829241425e-01
-7.811188679000531376e-01,5.035460587445790281e-01
-7.676536429431064512e-01,7.515444418826660034e-01
-7.475583675940955519e-01,7.571216008879920745e-01
-7.298757973573988256e-01,1.001370877704836904e+00
-7.058143094490485492e-01,1.008613858226831805e+00
-6.853194476407525881e-01,1.238048711670683533e+00
-6.573327542686815406e-01,1.261060105225482397e+00
-6.351901352738866802e-01,1.489270903557151859e+00
-6.041979373921887442e-01,1.489717454395510954e+00
-5.793599750550103566e-01,1.743754330877359759e+00
-5.454761907228964368e-01,1.755833034681809401e+00
-5.175190125458769552e-01,1.981359817474693141e+00
-4.770219944449898275e-01,1.993975473979076485e+00
-4.429354419797549847e-01,2.236490510017066669e+00
-3.934351100232843512e-01,2.252259607148634935e+00
-3.529692511928771981e-01,2.492178870776256439e+00
-2.973064603481300194e-01,2.512531071223995660e+00
-2.504523312912020350e-01,2.754197176690999171e+00
-1.853788543348750817e-01,2.754233559714509560e+00
-1.302226032950439261e-01,2.996904974150193190e+00
-5.530120155963951650e-02,3.009349392315783689e+00
7.627744290323160148e-03,3.231912021803391433e+00
9.333123189399951392e-02,3.259081512012264703e+00
1.665170964697191280e-01,3.463817414041463039e+00
2.658777576515685692e-01,3.503249146431297589e+00
3.471461411876576864e-01,3.732979217423246787e+00
4.578271368056827106e-01,3.763676280808913255e+00
5.489661912690303458e-01,3.996764034710146518e+00
6.689509664441198877e-01,4.002776021790968919e+00
7.702151963071692808e-01,4.228337037389153785e+00
9.054383313308240755e-01,4.238603740253231500e+00
1.017730059004326337e+00,4.481548910307419753e+00
1.169489772357004131e+00,4.508905184443120717e+00
1.294187813478203442e+00,4.725719065151431586e+00
1.456547140901973458e+00,4.749309926547787164e+00
1.589121880302763579e+00,4.975757995499418662e+00
1.753788429556038864e+00,5.003061442889950250e+00
1.882704240216471314e+00,5.217377309965622878e+00
2.031050934359434290e+00,5.231593212233734747e+00
2.139103357412493356e+00,5.390673921963611726e+00
2.242167879262610075e+00,5.396698258430152606e+00
2.306167905747642966e+00,5.528169916531481931e+00
