x,y
2.216679287157675149e-01,-1.650966740789867604e+00
2.114831105862683969e-01,-1.526980925173986536e+00
1.958015871795806828e-01,-1.509967883427937752e+00
1.797462430270351796e-01,-1.347801929428463996e+00
1.579013244004227046e-01,-1.332451678457714284e+00
1.399849245905435968e-01,-1.133383028563998973e+00
1.181702647239077086e-01,-1.119048240638914615e+00
1.013037123538783058e-01,-8.834688826685859198e-01
8.166257089309104933e-02,-8.708972703842888796e-01
6.751024620821377553e-02,-6.460102086975461066e-01
5.179889860399579382e-02,-6.441007306178410108e-01
4.187581039474975314e-02,-4.300731136685326250e-01
3.191438935149883138e-02,-4.294192351046062228e-01
2.640138650392748199e-02,-2.151829884165809559e-01
2.092196956143902234e-02,-2.148922994023277633e-01
1.866506017163022460e-02,-2.906890142531605090e-04
1.641603928310004373e-02,0.000000000000000000e+00
1.866506017163022460e-02,2.906890142531605090e-04
2.092196956143902234e-02,2.148922994023277633e-01
2.640138650392748199e-02,2.151829884165809559e-01
3.191438935149883138e-02,4.294192351046062228e-01
4.187581039474975314e-02,4.300731136685326250e-01
5.179889860399579382e-02,6.441007306178410108e-01
6.751024620821377553e-02,6.460102086975461066e-01
8.166257089309104933e-02,8.708972703842888796e-01
1.013037123538783058e-01,8.834688826685859198e-01
1.181702647239077086e-01,1.119048240638914615e+00
1.399849245905435968e-01,1.133383028563998973e+00
1.579013244004227046e-01,1.332451678457714284e+00
1.797462430270351796e-01,1.347801929428463996e+00
1.958015871795806828e-01,1.509967883427937752e+00
2.114831105862683969e-01,1.526980925173986536e+00
2.216679287157675149e-01,1.650966740789867604e+00
