x,y
3.843104669159406184e-01,-2.156735793593050232e+00
3.696502868876675452e-01,-2.021979282172286840e+00
3.465071737983407840e-01,-2.014163322519354704e+00
3.231563107793895551e-01,-1.843433091910446020e+00
2.905695615865477865e-01,-1.835650306499805984e+00
2.642777474480086930e-01,-1.628420320167761393e+00
2.307488274050744081e-01,-1.623134773529377517e+00
2.046464706771370101e-01,-1.377762259344593510e+00
1.728422812603236935e-01,-1.374101884435706022e+00
1.494615252473921185e-01,-1.128439372366716764e+00
1.217416060731520144e-01,-1.123995741335784837e+00
1.032289295507489435e-01,-8.785248624572229437e-01
8.161509426606512740e-02,-8.758443793934937993e-01
6.759267307582829398e-02,-6.458807119301386290e-01
5.176078756694953154e-02,-6.442326009273529053e-01
4.195913639053104605e-02,-4.299431570938654357e-01
3.190208623440817653e-02,-4.295507712023598490e-01
2.639194916921829698e-02,-2.153141668864658742e-01
2.091045562608195157e-02,-2.147618872778755961e-01
1.865544181266804574e-02,-1.598937170845886845e-04
1.640516190273016983e-02,0.000000000000000000e+00
1.865544181266804574e-02,1.598937170845886845e-04
2.091045562608195157e-02,2.147618872778755961e-01
2.639194916921829698e-02,2.153141668864658742e-01
3.190208623440817653e-02,4.295507712023598490e-01
4.195913639053104605e-02,4.299431570938654357e-01
5.176078756694953154e-02,6.442326009273529053e-01
6.759267307582829398e-02,6.458807119301386290e-01
8.161509426606512740e-02,8.758443793934937993e-01
1.032289295507489435e-01,8.785248624572229437e-01
1.217416060731520144e-01,1.123995741335784837e+00
1.494615252473921185e-01,1.128439372366716764e+00
1.728422812603236935e-01,1.374101884435706022e+00
2.046464706771370101e-01,1.377762259344593510e+00
2.307488274050744081e-01,1.623134773529377517e+00
2.642777474480086930e-01,1.628420320167761393e+00
2.905695615865477865e-01,1.835650306499805984e+00
3.231563107793895551e-01,1.843433091910446020e+00
3.465071737983407840e-01,2.014163322519354704e+00
3.696502868876675452e-01,2.021979282172286840e+00
3.843104669159406184e-01,2.156735793593050232e+00
