"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.803625604,      -5.070341091,       -5.44585173,      -5.445611974,      -4.996196561,      -4.068974467
          0,           0,           1,      -4.803638775,      -5.070331691,      -5.445857529,       -5.44561776,      -4.996212251,      -4.071662639
          0,           0,           2,       -4.80365195,      -5.070322287,      -5.445863332,      -5.445623551,      -4.996227947,      -4.074462221
          0,           0,           3,      -4.803665133,      -5.070312888,      -5.445869139,      -5.445629345,      -4.996243649,      -4.077380509
          0,           0,           4,      -4.803678321,      -5.070303487,      -5.445874949,      -5.445635143,      -4.996259355,       -4.08042364
          0,           0,           5,      -4.803691517,       -5.07029409,      -5.445880764,      -5.445640945,      -4.996275067,      -4.083599216
          0,           0,           6,      -4.803704717,      -5.070284689,      -5.445886582,      -5.445646751,      -4.996290784,      -4.086915044
          0,           0,           7,      -4.803717926,      -5.070275296,      -5.445892404,       -5.44565256,      -4.996306507,      -4.090379469
          0,           0,           8,      -4.803731139,      -5.070265898,      -5.445898229,      -5.445658373,      -4.996322234,      -4.094001475
          0,           0,           9,       -4.80374436,      -5.070256503,      -5.445904058,       -5.44566419,      -4.996337968,      -4.097790299
          0,           0,          10,      -4.803757586,      -5.070247107,      -5.445909892,      -5.445670011,      -4.996353706,      -4.101757352
          0,           0,          11,      -4.803770819,      -5.070237715,      -5.445915729,      -5.445675836,      -4.996369449,      -4.105912576
          0,           0,          12,      -4.803784057,      -5.070228319,      -5.445921569,      -5.445681664,      -4.996385198,      -4.110268701
          0,           0,          13,      -4.803797303,      -5.070218928,      -5.445927414,      -5.445687496,      -4.996400952,      -4.114838531
          0,           0,          14,      -4.803810554,      -5.070209536,      -5.445933262,      -5.445693332,      -4.996416712,      -4.119635901
          0,           0,          15,      -4.803823813,      -5.070200148,      -5.445939114,      -5.445699171,      -4.996432476,       -4.12467608
          0,           0,          16,      -4.803837076,      -5.070190755,       -5.44594497,      -5.445705014,      -4.996448246,       -4.12997545
          0,           0,          17,      -4.803850347,      -5.070181367,      -5.445950829,      -5.445710861,      -4.996464021,      -4.135551487
          0,           0,          18,      -4.803863623,      -5.070171978,      -5.445956692,      -5.445716712,      -4.996479802,      -4.141412923
          0,           0,          19,      -4.803876906,      -5.070162593,      -5.445962559,      -5.445722567,      -4.996495588,      -4.147611067
          0,           0,          20,      -4.803890194,      -5.070153204,       -5.44596843,      -5.445728425,      -4.996511379,      -4.154137135
          0,           0,          21,       -4.80390349,      -5.070143821,      -5.445974304,      -5.445734287,      -4.996527175,      -4.161025123
          0,           0,          22,      -4.803916792,      -5.070134435,      -5.445980183,      -5.445740153,      -4.996542977,      -4.168300571
          0,           0,          23,        -4.8039301,      -5.070125052,      -5.445986065,      -5.445746023,      -4.996558784,      -4.175990976
          0,           0,          24,      -4.803943414,      -5.070115669,       -5.44599195,      -5.445751896,      -4.996574596,      -4.184126062
          0,           0,          25,      -4.803956735,      -5.070106287,      -5.445997839,      -5.445757773,      -4.996590413,      -4.192737604
          0,           0,          26,      -4.803970061,      -5.070096905,      -5.446003732,      -5.445763654,      -4.996606236,      -4.201859775
          0,           0,          27,      -4.803983395,      -5.070087526,      -5.446009629,      -5.445769539,      -4.996622064,      -4.211529453
          0,           0,          28,      -4.803996733,      -5.070078144,      -5.446015529,      -5.445775427,      -4.996637897,       -4.22178627
          0,           0,          29,       -4.80401008,      -5.070068768,      -5.446021434,      -5.445781319,      -4.996653736,      -4.232672732
