x,y
2.223875287375852161e-01,-1.659132630033137934e+00
2.120994725458630048e-01,-1.519132822351810574e+00
1.959733471942161909e-01,-1.516824445954376266e+00
1.797978462282787959e-01,-1.341564420742662467e+00
1.575568115461744301e-01,-1.339371745475686382e+00
1.400277300087164056e-01,-1.128043097708920861e+00
1.180304811225939832e-01,-1.126152230560765188e+00
1.013928713740022136e-01,-8.794603194764825105e-01
8.159093568127082086e-02,-8.776142792786725266e-01
6.761557246781045583e-02,-6.476550279628663365e-01
5.175596864593406954e-02,-6.455491305816740688e-01
4.196160350566387198e-02,-4.312054287819635512e-01
3.188653295801371218e-02,-4.302487983590080889e-01
2.635443726392609418e-02,-2.155354306811378129e-01
2.085898539792462383e-02,-2.154703367324102836e-01
1.859188146078033163e-02,-6.509394872752927164e-05
1.633627420428958657e-02,0.000000000000000000e+00
1.859188146078033163e-02,6.509394872752927164e-05
2.085898539792462383e-02,2.154703367324102836e-01
2.635443726392609418e-02,2.155354306811378129e-01
3.188653295801371218e-02,4.302487983590080889e-01
4.196160350566387198e-02,4.312054287819635512e-01
5.175596864593406954e-02,6.455491305816740688e-01
6.761557246781045583e-02,6.476550279628663365e-01
8.159093568127082086e-02,8.776142792786725266e-01
1.013928713740022136e-01,8.794603194764825105e-01
1.180304811225939832e-01,1.126152230560765188e+00
1.400277300087164056e-01,1.128043097708920861e+00
1.575568115461744301e-01,1.339371745475686382e+00
1.797978462282787959e-01,1.341564420742662467e+00
1.959733471942161909e-01,1.516824445954376266e+00
2.120994725458630048e-01,1.519132822351810574e+00
2.223875287375852161e-01,1.659132630033137934e+00
