x,y
3.833181147239070330e-01,-2.156186731819379698e+00
3.687236942024059161e-01,-2.017828653944605310e+00
3.455810961867569753e-01,-2.013931851322946276e+00
3.222658709453393167e-01,-1.840035474705060237e+00
2.897444085256333235e-01,-1.836093253344081244e+00
2.636809555469329935e-01,-1.626405862804185753e+00
2.301831192554538719e-01,-1.621994808337302141e+00
2.043065833368822026e-01,-1.376926015509241985e+00
1.725297105611013626e-01,-1.373462768558729064e+00
1.492623324117920980e-01,-1.127179714164779467e+00
1.216227869581690824e-01,-1.125355688610031546e+00
1.031545997009339216e-01,-8.782812654761359417e-01
8.157508009820306494e-02,-8.765380425323304747e-01
6.759863400562161895e-02,-6.464754628283636562e-01
5.173852228836601369e-02,-6.444719914879116773e-01
4.194566963067414972e-02,-4.303043322903769008e-01
3.186981017594026078e-02,-4.294859673295702840e-01
2.633874525128884064e-02,-2.147069437163215966e-01
2.084255930853797303e-02,-2.146335806165422799e-01
1.857637967943009255e-02,-7.450018610272780319e-04
1.632004349416854225e-02,0.000000000000000000e+00
1.857637967943009255e-02,7.450018610272780319e-04
2.084255930853797303e-02,2.146335806165422799e-01
2.633874525128884064e-02,2.147069437163215966e-01
3.186981017594026078e-02,4.294859673295702840e-01
4.194566963067414972e-02,4.303043322903769008e-01
5.173852228836601369e-02,6.444719914879116773e-01
6.759863400562161895e-02,6.464754628283636562e-01
8.157508009820306494e-02,8.765380425323304747e-01
1.031545997009339216e-01,8.782812654761359417e-01
1.216227869581690824e-01,1.125355688610031546e+00
1.492623324117920980e-01,1.127179714164779467e+00
1.725297105611013626e-01,1.373462768558729064e+00
2.043065833368822026e-01,1.376926015509241985e+00
2.301831192554538719e-01,1.621994808337302141e+00
2.636809555469329935e-01,1.626405862804185753e+00
2.897444085256333235e-01,1.836093253344081244e+00
3.222658709453393167e-01,1.840035474705060237e+00
3.455810961867569753e-01,2.013931851322946276e+00
3.687236942024059161e-01,2.017828653944605310e+00
3.833181147239070330e-01,2.156186731819379698e+00
