x,y
2.575,-0.878362
2.482298,-0.965024
2.370264,-1.036398
2.25823,-1.107771
2.146197,-1.179144
2.034163,-1.250517
1.922129,-1.321891
1.810096,-1.393264
1.698062,-1.464637
1.586029,-1.536011
1.473995,-1.607384
1.361961,-1.678757
1.249928,-1.750131
1.137894,-1.821504
1.02586,-1.892877
0.913827,-1.96425
0.801793,-2.035624
0.689759,-2.106997
0.577726,-2.17837
0.465692,-2.249744
0.353659,-2.321117
0.241625,-2.39249
0.129559,-2.46381
0.003358,-2.499977
-0.123767,-2.467213
-0.216764,-2.374553
-0.269656,-2.252777
-0.318305,-2.129172
-0.364198,-2.004517
-0.407312,-1.878875
-0.447626,-1.752305
-0.48512,-1.624873
-0.519776,-1.496639
-0.551576,-1.367667
-0.580505,-1.238021
-0.606548,-1.107765
-0.629693,-0.976962
-0.649929,-0.845678
-0.667244,-0.713977
-0.681632,-0.581924
-0.693084,-0.449585
-0.701595,-0.317023
-0.70716,-0.184306
-0.709778,-0.051497
-0.709447,0.081337
-0.706167,0.214131
-0.699939,0.346819
-0.690767,0.479336
-0.678655,0.611617
-0.663609,0.743597
-0.645637,0.87521
-0.624747,1.006391
-0.60095,1.137076
-0.574257,1.267201
-0.544682,1.396701
-0.512239,1.525513
-0.476944,1.653572
-0.438815,1.780816
-0.39787,1.907183
-0.35413,2.032609
-0.307615,2.157033
-0.25835,2.280394
-0.20039,2.399479
-0.09702,2.480406
0.033102,2.497799
0.154759,2.44783
0.266793,2.376456
0.378827,2.305083
0.49086,2.23371
0.602894,2.162336
0.714928,2.090963
0.826961,2.01959
0.938995,1.948217
1.051029,1.876843
1.163062,1.80547
1.275096,1.734097
1.387129,1.662723
1.499163,1.59135
1.611197,1.519977
1.72323,1.448603
1.835264,1.37723
1.947298,1.305857
2.059331,1.234484
2.171365,1.16311
2.283399,1.091737
2.395432,1.020364
2.507466,0.94899
2.575,0.84852
2.575,0.715683
2.575,0.582846
2.575,0.450009
2.575,0.317172
2.575,0.184335
2.575,0.051498
2.575,-0.081339
2.575,-0.214176
2.575,-0.347013
2.575,-0.47985
2.575,-0.612687
2.575,-0.745525
